1;Jornal Alpha;Editora B;POLITICA;2006;8643-5094;JORNAL;1
2;Jornal Gamma;Editora A;POLITICA;2001;2586-6327;JORNAL;1
3;Jornal Beta;Editora C;NEGOCIOS;2006;8582-9124;JORNAL;1
4;Jornal Epsilon;Editora E;NEGOCIOS;2006;8341-9957;JORNAL;1
5;Jornal Gamma;Editora B;DESPORTO;2010;3188-9908;JORNAL;1
6;Jornal Gamma;Editora E;NEGOCIOS;2019;9549-6783;JORNAL;1
7;Jornal Alpha;Editora D;DESPORTO;2015;6458-2345;JORNAL;1
8;Jornal Epsilon;Editora C;POLITICA;2022;5276-2658;JORNAL;1
9;Jornal Gamma;Editora E;CULTURA;2024;9038-7171;JORNAL;1
10;Jornal Gamma;Editora B;CULTURA;2008;8130-3024;JORNAL;1
