1;Revista Alpha;Editora Y;SAUDE;2003;1286-1077;REVISTA;1
2;Revista Delta;Editora W;CIENCIAS;2006;7035-8872;REVISTA;1
3;Revista Beta;Editora Z;SAUDE;2021;8590-8848;REVISTA;1
4;Revista Delta;Editora X;CIENCIAS;2016;5503-6025;REVISTA;1
5;Revista Alpha;Editora Y;SAUDE;2009;4247-2288;REVISTA;1
6;Revista Delta;Editora W;TECNOLOGIA;2008;9356-8693;REVISTA;1
7;Revista Gamma;Editora Z;SAUDE;2007;4502-9887;REVISTA;1
8;Revista Gamma;Editora X;SAUDE;2011;1500-5863;REVISTA;1
9;Revista Gamma;Editora X;SAUDE;2004;1709-7665;REVISTA;1
10;Revista Epsilon;Editora Q;SAUDE;2010;1683-1094;REVISTA;1
